id,color,quantity,is_spare
3003,0,2,False
3001,0,2,False
92947,0,2,False
3022,0,2,False
3039,0,2,False
87414,0,4,False
3004,1,4,False
3002,1,4,False
3028,10,1,False
3622,191,2,False
3001,191,4,False
759532,191,4,False
759528c07,191,1,False
3004,226,4,False
3003,226,4,False
3004,29,2,False
6215,29,2,False
87087,29,2,False
3004,321,2,False
3001,321,2,False
87087,321,2,False
3021,321,2,False
3004,72,2,False
3010,72,2,False
2456,72,2,False
3004,5,4,False
3003,5,2,False
3001,85,2,False
3040b,85,2,False
3004,320,4,False
3010,320,2,False
3020,28,2,False
3001,2,4,False
3034,2,2,False
3040b,2,4,False
3004,71,2,False
3003,71,2,False
6182,71,2,False
11211,71,3,False
4600,71,2,False
3004,27,2,False
3002,27,2,False
3022,27,2,False
3795,27,2,False
3660,27,2,False
3004,322,2,False
3010,322,2,False
2456,322,1,False
3003,73,2,False
3001,73,2,False
3001,30,2,False
3039,30,4,False
3003,84,4,False
3003,25,2,False
85984,25,2,False
3040b,25,4,False
3660,25,2,False
3002,4,2,False
3001,4,2,False
2456,4,2,False
6215,4,2,False
3034,4,1,False
3039,4,2,False
3002,70,2,False
3062b,70,2,False
3941,70,4,False
3004,378,4,False
3002,19,2,False
3747b,19,2,False
3065,47,6,False
30367c,47,2,False
3039,47,2,False
3065,46,2,False
98138,46,2,False
98138,46,1,True
3004,15,2,False
3245c,15,2,False
3003,15,2,False
30414,15,2,False
3039,15,4,False
98138pr0026,15,2,False
98138pr0026,15,1,True
98138pr0027,15,2,False
98138pr0027,15,1,True
98138pr0008,15,2,False
98138pr0008,15,1,True
34337,15,1,True
34337,15,4,False
3009,14,2,False
3002,14,2,False
3007,14,1,False
11211,14,2,False
3700,14,2,False
3004,158,2,False
32952,158,2,False
3034,158,2,False
