Part,Color,Quantity,Is Spare
11145,0,4,False
55805,0,2,False
55806,0,1,False
10916,0,1,False
86444,0,1,False
54187,0,1,False
3737,0,2,False
3708,0,2,False
3705,0,4,False
3706,0,4,False
3707,0,2,False
45590,0,4,False
32013,0,4,False
32034,0,4,False
32014,0,2,False
32184,0,8,False
32291,0,4,False
41678,0,4,False
60483,0,4,False
32523,0,2,False
32449,0,2,False
6629,0,4,False
33299a,0,2,False
60484,0,4,False
32270,0,2,False
32269,0,2,False
32498,0,2,False
32072,0,4,False
88323,0,54,False
87080,0,1,False
87086,0,1,False
64392,0,1,False
64682,0,1,False
2780,0,1,True
2780,0,60,False
57519,0,4,False
99010,0,2,False
2815,0,4,False
41897,0,2,False
43093,1,20,False
32523,1,4,False
6558,1,30,False
99948,383,1,False
87083,72,2,False
55013,72,2,False
42003,72,8,False
3648b,72,4,False
10928,72,4,False
92911,72,1,False
4185,72,4,False
6587,28,2,False
32523,2,4,False
95656,71,1,False
95658,71,2,False
99455,71,1,False
95650,71,1,False
99380,71,1,False
95648,71,2,False
95652,71,1,False
4519,71,14,False
32073,71,6,False
44294,71,5,False
60485,71,2,False
57585,71,2,False
6536,71,8,False
63869,71,6,False
32525,71,4,False
41239,71,6,False
32316,71,4,False
32524,71,4,False
32271,71,4,False
40490,71,6,False
32526,71,2,False
64178,71,1,False
64179,71,3,False
99773,71,4,False
3713,71,10,False
3713,71,1,True
94925,71,4,False
3649,71,2,False
55615,71,4,False
48989,71,6,False
87082,71,4,False
62462,71,4,False
3673,71,10,False
99009,71,2,False
4716,71,2,False
56908,71,2,False
54572,4,1,False
32062,4,10,False
59443,4,6,False
32523,4,4,False
32140,4,6,False
44809,4,2,False
32054,4,22,False
3749,19,8,False
6589,19,2,False
6589,19,1,True
32556,19,6,False
54190,47,1,False
95646c01,15,1,False
32009,15,4,False
32278,15,6,False
32348,15,6,False
32526,15,4,False
41669,15,4,False
32523,14,4,False
32123b,14,1,True
32123b,14,10,False
45544bc,9999,1,False
42806,9999,1,False
